class	vtable_rva	method_count	method_rvas
.?AVBountyOnFactionAbilityClass@@	0x8c5920	4	0x1f92b0,0x1f92c0,0x6f1a10,0x1f9d0
.?AVCableAttackAbilityClass@@	0x8c59d8	32	0x6f23e0,0x48d340,0x6f2b30,0x18ceb0,0x6f2d50,0x6f2b40,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f2a00,0x1fa90,0x6f3aa0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0eb0,0x5b0ea0,0x6f2bf0,0x6f3ed0,0x6f2850,0x6f2c20
.?AVCableAttackAbilityClass@@	0x8c5ae0	4	0x1f92b0,0x1f92c0,0x6f23d0,0x1f9d0
.?AVCancelSpecialAbilityClass@@	0x8c5b28	33	0x6f3f70,0x48d340,0x6f4050,0x17d070,0x1fa90,0x6f4060,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x1fa90,0x48e2d0,0x48e3e0,0x6f40b0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x13b7d0,0x52c940,0x6f3fc0,0x6f40c0,0x1fa90
.?AVCancelSpecialAbilityClass@@	0x8c5c38	4	0x1f92b0,0x1f92c0,0x6f3f5c,0x1f9d0
.?AVCombatBonusAbilityClass@@	0x8c5c68	33	0x6f41d0,0x48d340,0x6f4be0,0x17d070,0x1fa90,0x6f4bf0,0x13b7d0,0x48d320,0x13b7d0,0x17dc70,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x6f40b0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6f4cc0,0x6f4ff0,0x6f42d0,0x6f4cf0,0x6f4bb0
.?AVCombatBonusAbilityClass@@	0x8c5d78	4	0x1f92b0,0x1f92c0,0x6f41c0,0x1f9d0
.?AVConcentrateFireAttackAbilityClass@@	0x8c6120	32	0x6f5320,0x48d340,0x6f5540,0x18ceb0,0x6f5cc0,0x6eef00,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f5410,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6f5c30,0x6f3ed0,0x6f5370,0x6f5c60
.?AVConcentrateFireAttackAbilityClass@@	0x8c6228	4	0x1f92b0,0x1f92c0,0x6f5308,0x1f9d0
.?AVCorruptPlanetAbilityClass@@	0x8c63b0	32	0x6f60d0,0x48d340,0x6f6400,0x17d070,0x1fa90,0x6f6410,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6f6480,0x6f64b0,0x6f6120,0x13b7d0
.?AVCorruptPlanetAbilityClass@@	0x8c64b8	4	0x1f92b0,0x1f92c0,0x6f60c0,0x1f9d0
