class	vtable_rva	method_count	method_rvas
.?AV?$SingletonInstance@VSteamPeerLobbyClass@@@@	0x7ff608	2	0x1d940,0x1d990
.?AV?$SingletonInstance@VTheConsole@@@@	0x7ff7d8	2	0x1d9c0,0x1da10
.?AVexception@std@@	0x7ff7f8	2	0x1f810,0x22b00
.?AVbad_alloc@std@@	0x7ff828	2	0x1f810,0x22b00
.?AVbad_array_new_length@std@@	0x7ff840	2	0x1f810,0x22b00
.?AVConsoleCommand@@	0x7ff880	5	0x1f760,0x1fa90,0x1fa90,0x1fa90,0x1f9f0
.?AVRefCountClass@@	0x7ff8b8	4	0x1f92b0,0x1f92c0,0x1f7e0,0x1f9d0
.?AV?$DynamicVectorClass@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@@@	0x7ff8e0	1	0x1f6b0
.?AV?$DynamicVectorClass@M@@	0x7ff8f0	1	0x1f630
.?AV?$DynamicVectorClass@H@@	0x7ff900	1	0x370030
.?AV?$DynamicVectorClass@UClanStruct@InternetPlayerStruct@@@@	0x7ff910	1	0x1f670
.?AV?$DynamicVectorClass@VVector2@@@@	0x7ff920	1	0x1f6f0
.?AV?$LuaValue@N$03@@	0x7ff930	6	0x1f92b0,0x1f92c0,0x1f730,0x1f9d0,0x1fc20,0x1fc30
.?AVPlayersCommand@@	0x7ff988	5	0x1f7a0,0x1fa90,0x1fc40,0x1faa0,0x1fa10
.?AVSwitchSidesCommand@@	0x7ffa38	5	0x1f760,0x1fa90,0x1fa90,0x1fb30,0x1fa50
.?AV?$SingletonInstance@VSteamLobbyDialogClass@@@@	0x7ffcb0	2	0x25a50,0x25a90
.?AV?$SingletonInstance@VSteamClass@@@@	0x7ffcc8	2	0x25ac0,0x25b00
.?AV?$DynamicVectorClass@UInternetPlayerStruct@@@@	0x800000	1	0x27170
.?AV?$SingletonInstance@VMousePointerClass@@@@	0x800428	2	0x2dc80,0x2dcd0
.?AV?$SingletonInstance@VLandPositionFinderClass@@@@	0x800448	2	0x2dd00,0x2dd40
.?AV?$SingletonInstance@VGalacticPathFinderClass@@@@	0x800460	2	0x2dd70,0x2ddc0
.?AV?$DynamicVectorClass@V?$SmartPtr@VTextureClass@@@@@@	0x800478	1	0x46e90
.?AV?$DynamicVectorClass@PEAVGameObjectClass@@@@	0x800488	1	0x35b160
.?AV?$DynamicVectorClass@PEAVDrawTextClass@@@@	0x800498	1	0x46dd0
.?AV?$DynamicVectorClass@PEAVLineClass@@@@	0x8004a8	1	0x46e10
.?AV?$DynamicVectorClass@VTargetingHUDReticleClass@@@@	0x8004b8	1	0x46ed0
.?AV?$DynamicVectorClass@UtPersistentUnit@ObjectPersistenceClass@@@@	0x800748	1	0x46e50
.?AV?$DynamicVectorClass@UMessageStruct@InGameMessageClass@@@@	0x800880	1	0x4a680
.?AV?$SingletonInstance@VTheGameScoringManagerClass@@@@	0x800918	2	0x25ac0,0x4b0f0
.?AV?$SingletonInstance@VTheDebugWindowManagerClass@@@@	0x800930	2	0x25ac0,0x4b120
.?AV?$SingletonInstance@VTheMovementClassManagerClass@@@@	0x800948	2	0x25ac0,0x4b150
.?AV?$SingletonInstance@VAIDiagnosticsManagerClass@@@@	0x800960	2	0x25ac0,0x4b180
.?AV?$SingletonInstance@VTheAIDataManagerClass@@@@	0x800978	2	0x25ac0,0x4b1b0
.?AV?$SingletonInstance@VDatabaseConversionSystemClass@@@@	0x800990	2	0x4b1e0,0x4b220
.?AVRegistryProfileClass@@	0x8024b8	3	0x21eef0,0x21f120,0x21f5f0
.?AVNetworkProfileClass@@	0x8024d8	3	0x517c0,0x519a0,0x51b50
.?AV?$SingletonInstance@VSignalDispatcherClass@@@@	0x8026e8	2	0x52760,0x527f0
.?AV?$DynamicVectorClass@USaveGameStruct@SaveLoadManagerClass@@@@	0x802700	1	0x584d0
.?AV?$DynamicVectorClass@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@@	0x802d68	1	0x326200
.?AVSteamClass@@	0x803550	1	0x6af50
.?AVSteamAsyncSocketImpl@@	0x8038f8	10	0x1f92b0,0x1f92c0,0x6c340,0x1f9d0,0x6c550,0x6beb0,0x6bec0,0x6bf20,0x6c010,0x6c0b0
.?AV?$CCallbackImpl@$07@@	0x803950	3	0x6c640,0x76af38,0x6c530
.?AV?$CCallback@VSteamCallbacksImpl@@UP2PSessionRequest_t@@$0A@@@	0x803970	3	0x6c640,0x6c630,0x6c530
.?AV?$CCallbackImpl@$08@@	0x803990	3	0x6c640,0x76af38,0x6c540
.?AV?$CCallback@VSteamCallbacksImpl@@UP2PSessionConnectFail_t@@$0A@@@	0x8039b0	3	0x6c640,0x6c630,0x6c540
.?AVSteamCallbacksImpl@@	0x8039d0	4	0x1f92b0,0x1f92c0,0x6c4c0,0x1f9d0
.?AV?$CCallbackImpl@$0BI@@@	0x803a70	3	0x6c640,0x76af38,0x7c050
.?AV?$CCallback@VSteamPeerLobbyClass@@ULobbyInvite_t@@$0A@@@	0x803a90	3	0x6c640,0x6c630,0x7c050
.?AV?$CCallback@VSteamPeerLobbyClass@@ULobbyKicked_t@@$0A@@@	0x803ab0	3	0x6c640,0x6c630,0x7c050
.?AV?$CCallback@VSteamPeerLobbyClass@@ULobbyChatMsg_t@@$0A@@@	0x803ad0	3	0x6c640,0x6c630,0x7c050
.?AV?$CCallback@VSteamPeerLobbyClass@@ULobbyDataUpdate_t@@$0A@@@	0x803af0	3	0x6c640,0x6c630,0x7c050
.?AV?$CCallbackImpl@$0CA@@@	0x803b10	3	0x6c640,0x76af38,0x7c060
.?AV?$CCallback@VSteamPeerLobbyClass@@ULobbyChatUpdate_t@@$0A@@@	0x803b30	3	0x6c640,0x6c630,0x7c060
.?AV?$CCallbackImpl@$0BA@@@	0x803b50	3	0x6c640,0x76af38,0x7c040
.?AV?$CCallback@VSteamPeerLobbyClass@@UItemInstalled_t@@$0A@@@	0x803b70	3	0x6c640,0x6c630,0x7c040
.?AV?$CCallResult@VSteamPeerLobbyClass@@ULobbyMatchList_t@@@@	0x803b90	3	0x7c380,0x7c360,0x1fc30
.?AV?$CCallResult@VSteamPeerLobbyClass@@ULobbyCreated_t@@@@	0x803bb0	3	0x7c380,0x7c360,0x7c040
.?AV?$CCallResult@VSteamPeerLobbyClass@@ULobbyEnter_t@@@@	0x803bd0	3	0x7c380,0x7c360,0x7c050
.?AV?$CCallResult@VSteamPeerLobbyClass@@USteamUGCQueryCompleted_t@@@@	0x803bf0	3	0x7c380,0x7c360,0x7c050
.?AV?$DynamicVectorClass@UGameEntryStruct@@@@	0x804140	1	0x7bf10
.?AVLoadingThreadClass@@	0x805140	2	0x928f0,0x92940
.?AV?$DynamicVectorClass@K@@	0x805d78	1	0x9f2e0
.?AV?$DynamicVectorClass@PEAVPlayerClass@@@@	0x8159c8	1	0xc7640
.?AV?$DynamicVectorClass@PEBVGameObjectTypeClass@@@@	0x8159d8	1	0xcced0
.?AV?$DynamicVectorClass@PEAVPacketClass@@@@	0x8159e8	1	0xcce90
.?AV?$DynamicVectorClass@I@@	0x816b18	1	0xe5200
.?AV?$DynamicVectorClass@PEAVCampaignDataClass@@@@	0x817890	1	0xfa140
.?AV?$DynamicVectorClass@PEAVTextureRectClass@@@@	0x8178a0	1	0xfa180
.?AVGenericMultiLinkedList@@	0x818d60	2	0x12ef80,0x12ee90
.?AV?$ReferenceListClass@ValExtraRenderPass@@@@	0x818d78	2	0x12ef80,0x12ee10
.?AValHModel@@	0x818d90	18	0x1f92b0,0x1f92c0,0x12eed0,0x1f9d0,0x12ef90,0x12bdf0,0x12be30,0x1fa90,0x12be50,0x1fa90,0x12c660,0x12c6a0,0x13f890,0x12c6c0,0x12c740,0x12c7c0,0x12c9c0,0x12cf90
.?AValHModel@@	0x818e28	1	0x12edf8
.?AValHModel@@	0x818e38	2	0x12ee04,0x12ef30
.?AVMultiLinkedListMember@@	0x818e68	1	0x130990
.?AValTerrainShadowBlob@@	0x818e78	4	0x1f92b0,0x1f92c0,0x1309d0,0x1f9d0
.?AValTerrainShadowBlob@@	0x818ea0	1	0x13097c
.?AV?$DynamicVectorClass@VShadow_Blob_Bucket@alTerrain@@@@	0x818ec8	1	0x130b20
.?AV?$MultiLinkedListClass@ValTerrainShadowBlob@@@@	0x818ef0	2	0x12ef80,0x138d90
.?AV?$DynamicVectorClass@UVert@alTerrain@@@@	0x818f08	1	0x138c90
.?AV?$DynamicVectorClass@E@@	0x818f18	1	0x138b90
.?AV?$DynamicVectorClass@UOcclusionVert@alTerrain@@@@	0x818f28	1	0x138c50
.?AV?$DynamicVectorClass@VMtl@alTerrain@@@@	0x818f38	1	0x138cd0
.?AV?$DynamicVectorClass@PEAValTerrainDecal@@@@	0x818f48	1	0x138bd0
.?AV?$DynamicVectorClass@PEAValTerrainShadowBlob@@@@	0x818f58	1	0x138c10
.?AV?$MultiLinkedListClass@ValTerrainTrack@@@@	0x818f68	2	0x12ef80,0x138e10
.?AV?$MultiLinkedListClass@ValDynamicTerrainTrack@@@@	0x818f80	2	0x12ef80,0x138d10
.?AValTerrain@@	0x818f98	4	0x1f92b0,0x1f92c0,0x138e90,0x1f9d0
.?AValRenderTask@@	0x819118	4	0x13b790,0x13b800,0x76af38,0x1fa90
.?AValBlob@@	0x819140	18	0x1f92b0,0x1f92c0,0x13b6a0,0x1f9d0,0x13b810,0x13b220,0x13b7e0,0x1fa90,0x13b070,0x1fa90,0x13b1d0,0x13f7c0,0x13f890,0x1fa90,0x1fa90,0x12ef10,0x13b7d0,0x12f150
.?AValBlob@@	0x8191d8	1	0x13b680
.?AValBlob@@	0x8191e8	2	0x13b68c,0x12ef30
.?AValBlobFlushTask@@	0x819218	4	0x13b750,0x13b7f0,0x13b630,0x13b650
.?AValEmitter@@	0x819248	18	0x1f92b0,0x1f92c0,0x13c9d0,0x1f9d0,0x13cac0,0x13be90,0x13cab0,0x13be70,0x13c600,0x1fa90,0x13c610,0x13f7c0,0x13f890,0x13c060,0x13c140,0x12ef10,0x13b7d0,0x12f150
.?AValEmitter@@	0x8192e0	1	0x13c9b8
.?AValEmitter@@	0x8192f0	2	0x13c9c4,0x12ef30
.?AVCullObjectClass@@	0x819410	2	0x13ff70,0x76af38
.?AValRenderable@@	0x819428	18	0x1f92b0,0x1f92c0,0x13ffa0,0x1f9d0,0x13b810,0x76af38,0x76af38,0x1fa90,0x1fa90,0x1fa90,0x76af38,0x13f7c0,0x13f890,0x1fa90,0x1fa90,0x12ef10,0x13b7d0,0x12f150
.?AValRenderable@@	0x8194c0	1	0x13ff58
.?AValRenderable@@	0x8194d0	2	0x13ff64,0x12ef30
.?AV?$DynamicVectorClass@PEAValRenderable@@@@	0x819500	1	0x1451b0
.?AV?$DynamicVectorClass@PEAValAnim@@@@	0x819510	1	0x145130
.?AV?$DynamicVectorClass@PEAValEmitter@@@@	0x819520	1	0x145170
.?AValAssetManager@@	0x819530	1	0x1451f0
.?AValSkeletonConstants@@	0x819550	4	0x1f92b0,0x1f92c0,0x1482d0,0x1f9d0
.?AV?$MultiLinkedListClass@ValRenderTask@@@@	0x819588	2	0x12ef80,0x149ac0
.?AValLightSource@@	0x8196a0	18	0x1f92b0,0x1f92c0,0x14ba30,0x1f9d0,0x14bb40,0x14aa20,0x14aa60,0x14ac20,0x1fa90,0x1fa90,0x14aab0,0x14acd0,0x13f890,0x14ab40,0x14abb0,0x12ef10,0x13b7d0,0x12f150
.?AValLightSource@@	0x819738	1	0x14ba14
.?AValLightSource@@	0x819748	2	0x14ba20,0x12ef30
.?AV?$DynamicVectorClass@USubMesh@alRenderableMesh@@@@	0x819768	1	0x14dea0
.?AValRenderableMesh@@	0x819778	18	0x1f92b0,0x1f92c0,0x14dee0,0x1f9d0,0x14e0f0,0x14c210,0x14c250,0x1fa90,0x14c270,0x1fa90,0x14c4e0,0x13f7c0,0x13f890,0x1fa90,0x1fa90,0x12ef10,0x14c520,0x14c8f0
.?AValRenderableMesh@@	0x819810	1	0x14de84
.?AValRenderableMesh@@	0x819820	2	0x14de90,0x12ef30
.?AValTerrainDecal@@	0x819878	4	0x1f92b0,0x1f92c0,0x152c20,0x1f9d0
.?AValTerrainDecal@@	0x8198a0	1	0x152c0c
.?AValTerrainTrack@@	0x8198d0	4	0x1f92b0,0x1f92c0,0x1584a0,0x1f9d0
.?AValTerrainTrack@@	0x8198f8	1	0x158490
.?AValDynamicTerrainTrack@@	0x819930	4	0x1f92b0,0x1f92c0,0x15d2e0,0x1f9d0
.?AValDynamicTerrainTrack@@	0x819958	1	0x15d2c8
.?AValMeshRenderTask@@	0x819990	4	0x15e290,0x13b800,0x15e1a0,0x1fa90
.?AValParticles@@	0x8199c0	18	0x1f92b0,0x1f92c0,0x16f4c0,0x1f9d0,0x16f650,0x162980,0x16f640,0x1fa90,0x1fa90,0x1fa90,0x163510,0x13f7c0,0x13f890,0x1fa90,0x1fa90,0x12ef10,0x13b7d0,0x12f150
.?AValParticles@@	0x819a58	1	0x16f4a0
.?AValParticles@@	0x819a68	2	0x16f4ac,0x12ef30
.?AValParticleGroup@@	0x819b60	18	0x1f92b0,0x1f92c0,0x175d80,0x1f9d0,0x175f40,0x171bb0,0x175f30,0x171120,0x172290,0x1fa90,0x172710,0x13f7c0,0x13f890,0x172750,0x172770,0x12ef10,0x13b7d0,0x12f150
.?AValParticleGroup@@	0x819bf8	1	0x175d64
.?AValParticleGroup@@	0x819c08	2	0x175d70,0x12ef30
.?AValParticleGroupRenderTask@@	0x819c20	4	0x175e00,0x175f50,0x174cb0,0x174e40
.?AV?$DynamicVectorClass@PEAValD3dVertexTypeInterface@@@@	0x81a4a8	1	0x17ba10
.?AV?$DynamicVectorClass@PEAUIDirect3DVertexDeclaration9@@@@	0x81a4b8	1	0x17ba50
.?AValD3dVertexTypeInterface@@	0x81a608	10	0x17c790,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38
.?AV?$alD3dVertexType@ValD3dVertN@@@@	0x81a660	10	0x17c790,0x7c050,0x17d080,0x17d360,0x17d140,0x13b7d0,0x17d280,0x17d210,0x17cad0,0x17cad0
.?AV?$alD3dVertexType@ValD3dVertNC@@@@	0x81a6b8	10	0x17c790,0x7c060,0x17d090,0x17d370,0x17d150,0x13b7d0,0x17d280,0x17d210,0x17d7a0,0x17cb00
.?AV?$alD3dVertexType@ValD3dVertNU2@@@@	0x81a710	10	0x17c790,0x7c060,0x17d0a0,0x17d380,0x17d160,0x13b7d0,0x17d280,0x17d210,0x17cba0,0x17cba0
.?AV?$alD3dVertexType@ValD3dVertNU2C@@@@	0x81a768	10	0x17c790,0x17d2e0,0x17d0b0,0x17d390,0x17d170,0x13b7d0,0x17d280,0x17d210,0x17d840,0x17cbe0
.?AV?$alD3dVertexType@ValD3dVertNU2U3@@@@	0x81a7c0	10	0x17c790,0x17d2f0,0x17d0c0,0x17d3a0,0x17d180,0x13b7d0,0x17d280,0x17d210,0x17d8e0,0x17cc80
.?AV?$alD3dVertexType@ValD3dVertNU2U3U3@@@@	0x81a818	10	0x17c790,0x17d2b0,0x17d0d0,0x17d3b0,0x17d190,0x13b7d0,0x17d280,0x17d210,0x17d930,0x17ccd0
.?AV?$alD3dVertexType@ValD3dVertNU2U3U3C@@@@	0x81a870	10	0x17c790,0x17d300,0x17d0e0,0x17d3c0,0x17d1a0,0x13b7d0,0x17d280,0x17d210,0x17d9a0,0x17cd40
.?AV?$alD3dVertexType@ValD3dVertRSkinNU2@@@@	0x81a8c8	10	0x17c790,0x7c050,0x17d070,0x17d3d0,0x17d1b0,0x17dc70,0x17d280,0x17d230,0x17da70,0x17ce10
.?AV?$alD3dVertexType@ValD3dVertRSkinNU2C@@@@	0x81a920	10	0x17c790,0x7c060,0x17d070,0x17d3e0,0x17d1c0,0x17dc70,0x17d280,0x17d230,0x17db00,0x17ceb0
.?AV?$alD3dVertexType@ValD3dVertRSkinNU2U3U3@@@@	0x81a978	10	0x17c790,0x17d2a0,0x17d070,0x17d3f0,0x17d1d0,0x17dc70,0x17d280,0x17d230,0x17dbd0,0x17cf90
.?AV?$alD3dVertexType@ValD3dVertB4I4NU2@@@@	0x81a9d0	10	0x17c790,0x17d2a0,0x17d030,0x17d310,0x17d0f0,0x17dc70,0x17d280,0x17d1e0,0x17d400,0x17c7c0
.?AV?$alD3dVertexType@ValD3dVertB4I4NU2C@@@@	0x81aa28	10	0x17c790,0x17d2b0,0x17d040,0x17d320,0x17d100,0x17dc70,0x17d280,0x17d1e0,0x17d480,0x17c820
.?AV?$alD3dVertexType@ValD3dVertB4I4NU2U3U3@@@@	0x81aa80	10	0x17c790,0x17d2c0,0x17d050,0x17d330,0x17d110,0x17dc70,0x17d280,0x17d1e0,0x17d570,0x17c8e0
.?AV?$alD3dVertexType@ValD3dVertB4I4NU2U3U3C@@@@	0x81aad8	10	0x17c790,0x17d2d0,0x17d060,0x17d340,0x17d120,0x17dc70,0x17d280,0x17d1e0,0x17d620,0x17c970
.?AV?$alD3dVertexType@ValD3dVertGrass@@@@	0x81ab30	10	0x17c790,0x7c050,0x17d070,0x17d350,0x17d130,0x13b7d0,0x17d280,0x17d200,0x17d740,0x17ca60
.?AValD3dTexture@@	0x81b060	10	0x1f92b0,0x1f92c0,0x186610,0x1f9d0,0x186720,0x185f40,0x76af38,0x76af38,0x76af38,0x1861b0
.?AValD3dTexture@@	0x81b0b8	1	0x1865fc
.?AValD3dMesh@@	0x81b0d8	4	0x1f92b0,0x1f92c0,0x189df0,0x1f9d0
.?AValD3dMesh@@	0x81b100	1	0x189de0
.?AV?$ReferenceListClass@ValD3dEffect@@@@	0x81b138	2	0x12ef80,0x189f20
.?AValD3dEffectStateManager@@	0x81b158	21	0x1b5240,0x1b5290,0x1b52a0,0x1b52d0,0x1b52f0,0x1b5310,0x1b5330,0x1b5350,0x1b5370,0x1b5390,0x1b53b0,0x1b53d0,0x1b5410,0x1b5430,0x1b5450,0x1b5480,0x1b54b0,0x1b54e0,0x1b5500,0x1b5530,0x1b5560
.?AValD3dEffectParamInterface@@	0x81b250	5	0x18c850,0x76af38,0x76af38,0x76af38,0x1fa90
.?AV?$alD3dEffectParam@M@@	0x81b280	5	0x18c740,0x18ca60,0x17d070,0x18c920,0x18cf00
.?AV?$alD3dEffectParam@VVector2@@@@	0x81b2b0	5	0x18c740,0x18cab0,0x18ceb0,0x18c940,0x18cf10
.?AV?$alD3dEffectParam@VVector3@@@@	0x81b2e0	5	0x18c770,0x18cb10,0x18cec0,0x18c960,0x18cf20
.?AV?$alD3dEffectParam@VVector4@@@@	0x81b310	5	0x18c770,0x18cb80,0x18ced0,0x18c980,0x18cf40
.?AValD3dTextureEffectParam@@	0x81b340	5	0x18c880,0x18cd10,0x18cee0,0x18c9a0,0x18cf60
.?AValD3dEffectInstance@@	0x81b370	24	0x1f92b0,0x1f92c0,0x18c7a0,0x1f9d0,0x18ce80,0x18cbf0,0x18ce50,0x18cef0,0x18b570,0x18b630,0x18b650,0x18b670,0x18b690,0x18ce90,0x18ce70,0x18b730,0x18b770,0x18b7d0,0x18b840,0x18b880,0x18b8d0,0x18b920,0x18b970,0x18b9c0
.?AValD3dEffectInstance@@	0x81b438	1	0x18c734
.?AV?$alD3dEffectParam@H@@	0x81b448	5	0x18c740,0x18ca10,0x18cea0,0x18c920,0x18cf00
.?AValD3dTexture2D@@	0x81b480	10	0x1f92b0,0x1f92c0,0x18df80,0x18ded0,0x18e050,0x185f40,0x18d9d0,0x18d9e0,0x18d9f0,0x1861b0
.?AValD3dTexture2D@@	0x81b4d8	1	0x18df68
.?AValTerrainRender@@	0x81b588	14	0x1946c0,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x1fa90
.?AV?$DynamicVectorClass@PEAValD3dTerrainPatch@@@@	0x81b600	1	0x194600
.?AValD3dTerrainRender@@	0x81b610	14	0x194640,0x18ec30,0x18ee70,0x18f490,0x18f960,0x18fad0,0x18fb60,0x18fbf0,0x18fc60,0x18fd50,0x18fd90,0x18fde0,0x18fe10,0x18fe40
.?AValD3dTerrainRenderTask@@	0x81b688	4	0x194680,0x13b800,0x194ca0,0x1fa90
.?AValD3dWaterRenderTask@@	0x81b6b0	4	0x194680,0x13b800,0x194e90,0x1fa90
.?AValD3dTerrainDecorationRenderTask@@	0x81b6d8	4	0x175e00,0x13b800,0x1946f0,0x194ef0
.?AV?$ReferenceListClass@ValDrawPrimitive@@@@	0x81b988	2	0x12ef80,0x1953b0
.?AValDrawPrimitive@@	0x81b9a0	7	0x1f92b0,0x1f92c0,0x1957b0,0x1f9d0,0x195810,0x1fa90,0x1fa90
.?AValDrawPrimitive@@	0x81b9e0	1	0x195798
.?AValRenderTarget@@	0x81ba20	4	0x1f92b0,0x1f92c0,0x198840,0x1f9d0
.?AValRenderTarget@@	0x81ba48	1	0x198778
.?AValD3dRenderTarget@@	0x81ba58	4	0x1f92b0,0x1f92c0,0x198790,0x1f9d0
.?AValD3dRenderTarget@@	0x81ba80	1	0x198760
.?AValD3dRenderTarget@@	0x81ba90	3	0x19876c,0x198450,0x198430
.?AValDepthBuffer@@	0x81bab8	4	0x1f92b0,0x1f92c0,0x198840,0x1f9d0
.?AValDepthBuffer@@	0x81bae0	1	0x198778
.?AValD3dDepthBuffer@@	0x81baf0	4	0x1f92b0,0x1f92c0,0x198d40,0x1f9d0
.?AValD3dDepthBuffer@@	0x81bb18	1	0x198d28
.?AValD3dDepthBuffer@@	0x81bb28	3	0x198d34,0x198bd0,0x198bb0
.?AValD3dTextureCube@@	0x81bb50	10	0x1f92b0,0x1f92c0,0x199400,0x1f9d0,0x199470,0x185f40,0x199300,0x199310,0x199320,0x1861b0
.?AValD3dTextureCube@@	0x81bba8	1	0x1993ec
.?AV?$MultiLinkedListClass@ValRenderable@@@@	0x81bbc0	2	0x12ef80,0x19a320
.?AV?$ReferenceListClass@ValRenderable@@@@	0x81bbd8	2	0x12ef80,0x19a3a0
.?AValScene@@	0x81bbf0	29	0x1f92b0,0x1f92c0,0x19a420,0x1f9d0,0x19a5b0,0x17d070,0x19a5a0,0x199ea0,0x1fa90,0x1fa90,0x199e10,0x19a5d0,0x13f890,0x1fa90,0x1fa90,0x12ef10,0x13b7d0,0x12f150,0x19a5c0,0x19a590,0x199b80,0x76af38,0x76af38,0x76af38,0x76af38,0x199c30,0x13b7d0,0x199c50,0x199c80
.?AValScene@@	0x81bce0	1	0x19a2fc
.?AValScene@@	0x81bcf0	2	0x19a308,0x12ef30
.?AV?$ReferenceListClass@ValParticles@@@@	0x81bd70	2	0x12ef80,0x19ddd0
.?AValParticlesConstants@@	0x81bd88	4	0x1f92b0,0x1f92c0,0x19de50,0x1f9d0
.?AV?$DynamicVectorClass@VVector3@@@@	0x81bde0	1	0x19f1c0
.?AV?$DynamicVectorClass@VQuaternionClass@@@@	0x81bdf0	1	0x19f180
.?AV?$DynamicVectorClass@ValRawJointAnim@alRawAnim@@@@	0x81be00	1	0x19f200
.?AValRawAnim@@	0x81be10	16	0x1f92b0,0x1f92c0,0x19f240,0x1f9d0,0x19f3f0,0x19f3b0,0x19f3e0,0x19f3c0,0x19f3d0,0x19e660,0x19e680,0x19e700,0x19e780,0x19ea50,0x19eba0,0x13b7d0
.?AValQuantizedAnim@@	0x81bea0	16	0x1f92b0,0x1f92c0,0x1a1c30,0x1f9d0,0x19f3f0,0x19f3b0,0x19f3e0,0x19f3c0,0x1a1c70,0x1a0120,0x1a0140,0x1a01c0,0x1a0240,0x1a02d0,0x1a0570,0x1a1ca0
.?AValD3dResource@@	0x81c508	3	0x1abc20,0x17dc70,0x17dc70
.?AValD3dEngineParamInterface@@	0x81d128	2	0x1acfe0,0x76af38
.?AValD3dEyePosParam@@	0x81d140	2	0x1ad090,0x1ad010
.?AValD3dEyeObjPosParam@@	0x81d158	2	0x1ad090,0x1ad0c0
.?AValD3dCloudTextureEngineParam@@	0x81d170	2	0x1ad090,0x1ad140
.?AValD3dCloudUEngineParam@@	0x81d188	2	0x1ad090,0x1ad200
.?AValD3dCloudVEngineParam@@	0x81d1a0	2	0x1ad090,0x1ad260
.?AValD3dSphLightAllParam@@	0x81d1b8	2	0x1ad090,0x1ad2c0
.?AValD3dSphLightFillParam@@	0x81d1d0	2	0x1ad090,0x1ad350
.?AValD3dTimeParam@@	0x81d1e8	2	0x1ad090,0x1ad3e0
.?AValD3dFogParam@@	0x81d200	2	0x1ad090,0x1ad470
.?AValD3dDistanceFadeParam@@	0x81d218	2	0x1ad090,0x1ad500
.?AValD3dFOWTextureEngineParam@@	0x81d230	2	0x1ad090,0x1ad590
.?AValD3dFOWUEngineParam@@	0x81d248	2	0x1ad090,0x1ad650
.?AValD3dFOWVEngineParam@@	0x81d260	2	0x1ad090,0x1ad6b0
.?AValD3dResolutionConstantsParam@@	0x81d278	2	0x1ad090,0x1ad710
.?AValD3dShadowExtrusionParam@@	0x81d290	2	0x1ad090,0x1ad7d0
.?AValLightScaleParam@@	0x81d2a8	2	0x1ad090,0x1ad850
.?AValWindBendParam@@	0x81d2c0	2	0x1ad090,0x1ad940
.?AValWindGrassParam@@	0x81d2d8	2	0x1ad090,0x1ada40
.?AValD3dSkyCubeTextureEngineParam@@	0x81d2f0	2	0x1ad090,0x1adb30
.?AV_EngineParam_Get_D3d_Model_Transform@@	0x81d308	2	0x1ad090,0x1adc30
.?AV_EngineParam_Get_D3d_View_Transform@@	0x81d320	2	0x1ad090,0x1adcb0
.?AV_EngineParam_Get_D3d_Projection_Transform@@	0x81d338	2	0x1ad090,0x1add30
.?AV_EngineParam_Get_D3d_View_Inverse_Transform@@	0x81d350	2	0x1ad090,0x1addb0
.?AV_EngineParam_Get_D3d_View_Projection_Transform@@	0x81d368	2	0x1ad090,0x1ade30
.?AV_EngineParam_Get_D3d_Model_Inverse_Transform@@	0x81d380	2	0x1ad090,0x1adeb0
.?AV_EngineParam_Get_D3d_Model_Inverse_Transpose_Transform@@	0x81d398	2	0x1ad090,0x1adf30
.?AV_EngineParam_Get_D3d_Model_View_Transform@@	0x81d3b0	2	0x1ad090,0x1adfb0
.?AV_EngineParam_Get_D3d_Model_View_Projection_Transform@@	0x81d3c8	2	0x1ad090,0x1ae030
.?AV_EngineParam_Get_D3d_Model_View_Inverse_Transform@@	0x81d3e0	2	0x1ad090,0x1ae0b0
.?AV?$DynamicVectorClass@UEffectTex@alD3dEffect@@@@	0x81d660	1	0x1b14a0
.?AValD3dEffect@@	0x81d670	24	0x1f92b0,0x1f92c0,0x1b14e0,0x1f9d0,0x1b1590,0x17d070,0x1b1580,0x1b15b0,0x1ae470,0x1ae520,0x1ae540,0x1ae560,0x18cfa0,0x1b15a0,0x17d070,0x18cea0,0x17d070,0x1b5640,0x1b56c0,0x1b56d0,0x1b56e0,0x1b56f0,0x1b5700,0x1b5710
.?AValD3dEffect@@	0x81d738	1	0x1b1484
.?AValD3dEffect@@	0x81d748	3	0x1b1490,0x1ae640,0x1ae5f0
.?AValD3dTransitionEffect@@	0x81dbd8	7	0x1f92b0,0x1f92c0,0x1b2460,0x1f9d0,0x1fa90,0x13b7d0,0x1fa90
.?AValD3dTransitionEffect@@	0x81dc18	1	0x1b2430
.?AValD3dTransitionEffectLinearWipe@@	0x81dc28	7	0x1f92b0,0x1f92c0,0x1b2580,0x1f9d0,0x1b1e30,0x1b1e50,0x1b1e70
.?AValD3dTransitionEffectLinearWipe@@	0x81dc68	1	0x1b2448
.?AValD3dTransitionEffectAlphaFade@@	0x81dc78	7	0x1f92b0,0x1f92c0,0x1b24c0,0x1f9d0,0x1b2260,0x1b2280,0x1b22a0
